NAME_1,value 
Andaman and Nicobar Islands,48
Andhra Pradesh,27046
Arunachal Pradesh,200
Assam,13507
Bihar,10723
Chandigarh,241
Chhattisgarh,4226
Dadra and Nagar Haveli,15
Daman and Diu,9
Delhi,5970
Goa,181
Gujarat,9544
Haryana,5981
Himachal Pradesh,915
Jammu and Kashmir,3325
Jharkhand,4101
Karnataka,9763
Kerala,10937
Lakshadweep,2
Madhya Pradesh,16907
Maharashtra,16186
Manipur,296
Meghalaya,251
Mizoram,200
Nagaland,57
Orissa,11313
Puducherry,60
Punjab,3216
Rajasthan,21111
Sikkim,68
Tamil Nadu,7100
Tripura,1559
Uttar Pradesh,23807
Uttaranchal,1065
West Bengal,30785
